120315;"Сырники  ""Здоровое питание""         ";1кг;1;340;
110302;Сметана Тбилисская   15% ;0,4л;0,4;97;
103687;Молоко   Осетии 3,2%;900мл;0,9;86;
30788;Жаркое с грибами  ;1кг;1;260;
143954;Мандарины Египетские;1кг;1;99;
53256;Чак-чак   ;1кг;1;320;
42375;Плов с грибами   ;1кг;1;250;
93517;Кефир Осетии   1%    0,9л бут.  ;0,9л;0,9;82;
121804;Котлеты куриные       ;1кг;1;360;
30246;Бризоли  ;1кг;1;105;
33289;Вешенки маринованные (СК);1кг;1;395;
119200;Говядина  Балык (Телка) (Став.)охл,Сорт1              ;1кг;1;355;
95403;Творог Осетии   5%  350гр ст.  ;1кг;1;133;
43501;Тыква запеченая   ;1кг;1;150;
13943;Яблоки     желтые отеч.        ;1кг;1;73;
30853;Апельсины Марокко;1кг;1;141;
29708;Салат Греческий  ;1кг;1;390;
35338;Говядина Ребра(Ставр.)охл,Сорт1  ;1кг;1;315;
10904;Зелень ассорти        ;1кг;1;192;
89442;Сыр творож. Хохланд Креметте профессионал  ;1кг;1;439;
42014;Капуста квашенная   ;1кг;1;190;
12863;Слива черная импорт  ;1кг;1;218;
137680;Картофельные шарики          ;1кг;1;365;
30172;Крылышки  жаренные   ;1кг;1;380;
30954;Пирожки  с картошкой   ;1кг;1;20;
35419;Картофель   молодой  импорт;1кг;1;119;
94295;Творог Коровка из Кореновки   5%;180гр;0,18;74;
119199;Говядина  Ребра (Телка) (Став.)охл,Сорт1              ;1кг;1;315;
30979;Свекла маринованая   ;1кг;1;195;
138087;Кекс творожный            ;1кг;1;25;
35343;Говядина Лангет(Ставр.)охл.,Сорт1  ;1кг;1;475;
10193;Лимон  свежий;1кг;1;143;
8236;Капуста;1кг;1;75;
30957;Пицца большая   ;1шт;1;200;
30593;Яблоки местные;1кг;1;83;
22831;Кабачки;1кг;1;121;
1395;Газ.вода  Кока -Кола  ;0,33л;0,33;36;
82204;Пицца МЕКСИКА  ;1кг;1;80;
35364;Окорочка куриные возр.3мес.Сорт1;1кг;1;210;
36077;Фасоль по- грузински   ;1кг;1;230;
13698;Ананасы  Голд;1кг;1;110;
9396;Миндаль;1кг;1;910;
30594;Яблоки Джонагольд  премиум          ;1кг;1;85;
106484;Пряники  банановые постные;1кг;1;230;
63262;Торт Забава Испанский Медовик    ;1шт;1;400;
31645;Молоко Кубанская буренка;1кг;1;112;
13221;Палтус жареная   ;1кг;1;850;
75851;Лимон имп.;1кг;1;193;
10506;Сосиски Дымов Баварские н/о з/с        ;1кг;1;783;
90439;Манон  постный     ;1кг;1;180;
143645;Печенье Постное  Овсяно-банановое ;1кг;1;230;
35336;Говядина Печень(Ставр.)охл.,Сорт1  ;1кг;1;305;
35349;Свинина Окорок(Ставр.),охл.,Сорт1;1кг;1;270;
109899;Сочники      ;1кг;1;30;
92141;Баклажаны по- корейски  ;1кг;1;300;
116633;Штрудель  Постный;1кг;1;100;
30790;Огурцы малосольные  ;1кг;1;220;
760;Кефир   Кубанская Буренка  2,5%  ;950гр;0,95;80;
1390;Газ.вода  Кока-Кола;2л;2;122;
35354;Кура охл. п/ф, возр.3мес. Сорт1;1кг;1;195;
10931;Бананы мини      ;1кг;1;222;
13170;Йогурт Активия питьевой 4,5% злаки;870гр;870;126;
42954;Эссе Black   МРЦ 120;1кг;1;120;
43523;Мясо по- французски ;1кг;1;430;
43297;Холодец  говяжий    ;1кг;1;350;
60212;Треугольники с черемшой   ;1кг;1;80;
66325;Кофе  Ирландский крем/сливки (Чайкофский)      ;1кг;1;1 422;
66323;Кофе  Дипломат  французская обжарка (ЧайКофски)    ;1кг;1;1 027;
62847;Торт Забава Медовый с мороженым;1кг;1;368;
75221;Газ.вода Кока-Кола  *9шт;1.5л;0,5;79;
30170;Окорочка жаренные  ;1кг;1;350;
11552;Яблоки зеленые отеч.          ;1кг;1;72;
30937;Пирог с капустой  Къабускаджын  ;1кг;1;160;
39537;Хлеб    Каменка  (Нива)         ;1кг;1;29;
90095;Картофель   Египет;1кг;1;50;
758;Кефир   Веселый Молочник 1%;0,95л;0,95;79;
30958;Сосиска в тесте  ;1шт;1;30;
31308;Голубика  свежая  импорт;1кг;1;195;
60547;Творог Дивеевский продукт   5%;180гр;0,18;58;
105296;Сметана Осетии 15%;400гр;0,4;101;
122745;Печенье апельсиновое ПОСТНОЕ          ;1кг;1;230;
91963;Кекс Банановый с шоколадом  ;1шт;1;25;
43502;Сосиски Дюбуа Баварские н/о газ  (0,6)     ;1кг;1;569;
135830;Сигареты Parliament Aqua Blue   МРЦ 175;1шт;1;175;
10821;Салат Китайский  (Пекинка)   ;1кг;1;111;
9743;Сосиски ДюбуА  Баварские н/о газ   (2)           ;1кг;1;541;
1179;Конфеты Ферреро Роше  Бриллиант Т24*4;300гр;0,3;937;
30581;Мандарины   Марокко          ;1кг;1;102;
123167;Сыр малосольный с зеленью  (тархун,мята) С/П        ;1кг;1;420;
138157;Шампанское Российское Исток полусладкое белое;0,75л;0,75;166;
136612;Напиток винный МЕЛИА (MELIA) газированнный  красный  сладкий;0,75л;0,75;120;
137710;Напиток винный КреМисс газированнный  розовый п/сл.;0,75л;0,75;160;
138982;Напиток винный ЛАВАНИЛЬ газированнный  белый  п/сл.;0,75л;0,75;150;
142678;Напиток COSMO IL VENTO ROSE винный замутненный КОСМО ИЛЬ ВЕНТО РОЗЕ газированнный  сладкий;0,75л;0,75;199;
142680;Напиток COSMO IL VENTO OCEAN винный замутненный КОСМО ИЛЬ ВЕНТО ОУШЕН газированнный  сладкий;0,75л;0,75;199;
138965;Шампанское Золотой Исток Российское  полусладкое белое;0,75л;0,75;166;
142679;Напиток COSMO IL VENTO GOLD винный замутненный КОСМО ИЛЬ ВЕНТО ГОЛД газированнный  сладкий;0,75л;0,75;199;
137709;Напиток винный КреМисс газированнный  красный п/сл.;0,75л;0,75;160;
136611;Напиток винный МЕЛИА (MELIA) газированнный  белый  сладкий;0,75л;0,75;120;
136947;Напиток винный КреМисс газированнный  белый  п/сл.;0,75л;0,75;160;
138983;Напиток винный ЛАВАНИЛЬ газированнный  красный п/сл.;0,75л;0,75;150;
139791;Напиток винный КУКОЛКА (KUKOLKA) газированнный  белый  сладкий;0,75л;0,75;140;
139792;Напиток винный КУКОЛКА (KUKOLKA) газированнный  красный  сладкий;0,75л;0,75;140;
55891;Водка ГОСТ ТМ стандарт 40% NEW   ;0,5л;0,75;230;
119631;Водка Русская Тройка Серебристая 40%;0,5л;0,5;253;
119630;Водка Русская Тройка Благородная 40% ;0,5л;0,5;250;
64890;Водка Хлебный росток Озимая 40%;0,5л;0,5;215;
64889;Водка Хлебный росток  пшенич. 40%;0,5л;0,5;215;
103562;Водка Сага ТМ Нордик Ресипи 40%;0,5л;0,5;270;
130350;"Водка ""Добрый медведь""   40% Россия";0,5л;0,5;215;
120386;Хлеб ржаной бездрожжевой;350гр;0,35;30;
124154;Хлеб ржаной бездрожжевой  с семечками ;350гр;0,35;40;
124410;Хлеб Белый бездрожжевой;350гр;0,35;30;
124155;Хлеб бездрожжевой с отрубями;500гр;0,5;40;
120528;Хлеб ржаной бездрожжевой;500гр;0,5;40;
121165;Хлеб ржаной бездрожжевой;250гр;0,25;25;
124412;Хлеб Белый бездрожжевой;250гр;0,25;25;
124411;Хлеб Белый бездрожжевой;500гр;0,5;40;
